Likelihood to Return,3,Return
App Performance,1,App Performance
Catalog Purchase,3,Purchase
Materials,1,Unmapped Elements
Likelihood to use again,3,Use Again
Job Information Browsing,1,Product Browsing
Online Selling Resource,3,Primary Resource
Capable,1,Unmapped Elements
Purchase- Another site,3,Purchase from Competitor
Product Instructions,1,Unmapped Elements
Other-Channel Purchase,3,Other-Channel Purchase
Purchase Next Time - Retail,3,Purchase Next Time
Ease of Use,1,Unmapped Elements
Watch Video,3,Watch Video Online
HSBC products & services,3,Recommend Products/Services
Conference Logistics,1,Unmapped Elements
Website Navigation,1,Navigation
CoWorkers,1,Unmapped Elements
Consider,3,Unmapped Future Behaviors
Discover Entertainment Options,3,Unmapped Future Behaviors
Recommend  Products,3,Recommend Products/Services
Recommend - Meetings,3,Recommend Products/Services
Contact via Email Again for Service,3,Contact Via Channel Again
Rely on Site for Resources,3,Unmapped Future Behaviors
Encourage Use,3,Unmapped Future Behaviors
Visit a Location,3,Visit in Person
Banking - Apply for Services,3,Apply
Plan Descriptions,1,Product Descriptions
3-Minute Chat Session,1,Unmapped Elements
Contact Real Estate Professional,3,Unmapped Future Behaviors
"State of Michigan's Regulatory Agencies (LARA, DEQ, Treasury) Do What is Right",3,Unmapped Future Behaviors
Likelihood to Increase Use,3,Unmapped Future Behaviors
Buy Now,3,Unmapped Future Behaviors
Selection,1,Unmapped Elements
Likelihood to Call Phone Support,3,Contact
Use Online Support,3,Use Service
Credit Cards,3,Unmapped Future Behaviors
Come Back,3,Return
Buy or Sell Goods & Services,3,Unmapped Future Behaviors
Policy Information,1,Site Information
Prescriptions from mobile site,3,Purchase via Mobile
Recommend HSBC products/services,3,Recommend Products/Services
Communicate customer service experience,3,Communicate Experience
Recommend Nationwide,3,Recommend Company
Job Application Tracking,1,Unmapped Elements
Watch,3,Watch Video Offline
Offline Purchase,3,Other-Channel Purchase
Apply for a Product,3,Unmapped Future Behaviors
Add New Employee,3,Unmapped Future Behaviors
Motorcycle,1,Unmapped Elements
Store Employees,1,Store Employees
Likelihood to Volunteer,3,Volunteer
Listing Browsing,1,Product Browsing
Other-Channel Purchase Department Store,3,Purchase from Partner/Distributor
More Effective,3,Unmapped Future Behaviors
Presentation,1,Presentation
Brand Confidence Store,3,Unmapped Future Behaviors
Contact via Lowe's Live Chat Again,3,Contact Via Channel Again
Account Setup,1,Account Setup
Sign-up for Credit Card,3,Apply
Relationship,3,Unmapped Future Behaviors
Relationship,1,Unmapped Elements
Visit Social Presence,3,Visit Social Presence
Purchase TV Online,3,In-Channel Purchase
Work Load,1,Unmapped Elements
Sell Online Again,3,Use Again
Purchase From Other Site,3,Purchase from Partner/Distributor
eTextbook Reading - Performance,1,Site Performance
Apply,3,Apply
Purchase Merchandise,3,Purchase
Resume Search,1,Unmapped Elements
Enroll In A Plan,3,Unmapped Future Behaviors
Purchase Experience,1,Ordering Process
Pre-delivery,1,Unmapped Elements
Banking - Apply,3,Apply
Book offline,3,Book Reservation Offline
Order Communication,1,Email Communication
Ads,1,Ads
Game Descriptions,1,Product Descriptions
Purchase in Store,3,Other-Channel Purchase
Brand Salience,1,Unmapped Elements
Primary Resource (Reference),3,Unmapped Future Behaviors
Discuss/Share Content,3,Share Content
Recommend Store Pick Up,3,Recommend Store Pickup
Emergency Resource,3,Primary Resource
Online Purchase Resource,3,Primary Resource
Request a Quote,3,Contact
Recommend Product,3,Recommend Products/Services
Purchase BBY Store,3,Other-Channel Purchase
Dealership Recommendation,3,Unmapped Future Behaviors
Website as first resource,3,Use Web Channel Over Others
Data Views Browsing,1,Unmapped Elements
Recommend Balance Consolidation,3,Recommend Products/Services
Likelihood to  Continue Membership,3,Subscribe/Renew
Recommend Services,3,Recommend Products/Services
Likelihood to Manage Account,3,Manage Account
Non-Product Content,1,Unmapped Elements
Apply for Services,3,Apply
Work/Life Balance,1,Unmapped Elements
Video,1,Videos
Use as Primary Financial Institution,3,Do Business
Call Phone Support,3,Contact
Contact Customer Service,3,Unmapped Future Behaviors
Purchase Products or Services,3,Purchase
FPI,3,Future Purchase Intent (Calculated)
Use a Facility,3,Use a Facility
Online Participation,3,Future Online Participation
Consider for Life Event,3,Unmapped Future Behaviors
Enroll,3,Unmapped Future Behaviors
Application Performance,1,Site Performance
Purchase In Store,3,Purchase In Store
Visit a Store,3,Visit in Person
Brand Commitment - Seek More Info,3,Seek More Information
Recommend Catalog Shopping,3,Unmapped Future Behaviors
Subscribe to ConsumerReports.org,3,Subscribe/Renew
Resume Relationship,3,Maintain Relationship
Bonuses and Promotions,1,Unmapped Elements
Offer Attractiveness,1,Unmapped Elements
Listing Process,1,Process
Increase Future Purchase,3,Unmapped Future Behaviors
Points Value,1,Unmapped Elements
Subscribe to Ancestry.com,3,Subscribe/Renew
Item Information,1,Product Descriptions
Use Bonus Air Miles Offers,3,Unmapped Future Behaviors
Product Finding,1,Product Finding
Purchase from Company,3,Purchase
